65,FAN PALM (BORASSUS AETHIOPUM),im-mai; kuʧanʃmanʤa; H. ku kwakwa,*-kun kwara,**u-titi majiŋ  ʤa H.,?,?,-újáŋ,bə̀-kwɛ́:kwɛ̀,*ka-bamba,?,?,*bí-ʃi:wa,?,"***u-ʤase,**ingeru",?,?,hí-kɔ́lɔ̀,?,"ma-manʤa H., ku-gumna+","kà-kùlù,mə̀-ʃə̂m"
65,FAN PALM (BORASSUS AETHIOPUM),1,2,3,?,?,4,2,5,?,?,5,?,6,?,?,7,?,7,8
66,PERSON,o-net,sai,o-no,?,vùmà,nòcó,vá:tu,(m)o-nɪr,-nɛ́t,o-no,bo-tɔ,uk-wari,*bu-gana,pɪ-nɪrɪgara,u-ʃie,undo (?),u-no,pijer,vùmà
66,PERSON,1,8,2,?,3,2,3,2,2,2,4,6,5,2,8,7,2,9,3
67,"PIG (DOMESTIC, WILD)",kuladu; *ko-raŋga,ʤaŋ,"**alade, **biraŋ-aa",?,mə̀gùrùsúnù,"àlɛ́dɛ̀, àlɛ́dɛ̀nɛ̀",?,ka-dɪm,?,bi-raŋga,kaɗo,?,*bɪ-dɪm,ka-dɪm,o-duaŋ,hí-ʃíʃibu,u-dima,"uvikah, i-nama, e-rimi",kù-ʤímâ
67,"PIG (DOMESTIC, WILD)",1,2,1,?,4,1,?,2,?,3,1,?,2,2,2,6,2,7,2
68,"PRESS, SQUEEZE OUT, MILK","udoduna, **malina",**párki,"*noke, *takara ?H",?,?,?,?,"*norkja, *mallikej",?,?,?,?,*pinnirize,?,?,?,?,"parme, gwalle",pìʃà
68,"PRESS, SQUEEZE OUT, MILK",1,2,3,?,?,?,?,1,?,?,?,?,5,?,?,?,?,2,2
69,QUARREL,su kubun kubun,**vuntsi,*u-kara,?,?,?,?,?,?,?,?,?,**awen,?,?,?,?,manpomono mapomono,ʃìlkə̀
69,QUARREL,1,2,3,?,?,?,?,?,?,?,?,?,4,?,?,?,?,5,6
70,RAPHIA PALM,in-ʧem; **ku-kuluk,*a-jed,"**o-ko, **o-geŋ, o-gjeŋ",?,?,?,bìkɛ̀lú,?,?,?,?,?,"**ndaran, **inʤaseh, **u-dabilo (H.)",?,?,?,?,"makur ~masaku, ka-gunga","kà-ʃùwà, kò-wò"
70,RAPHIA PALM,1,2,3,?,?,?,4,?,?,?,?,?,1,?,?,?,?,5,6
71,"REFUSE, RETAIN, TO",anaza,*-kaŋe,"*nyamene, *da ija",?,?,hòlà; hə́lə̀,?,"*gabu, wana nadi",jágɛ́,?,?,?,"**gabor, **pitih",?,?,?,?,vunuvu jepte,ʔĩ̀w)ã̀
71,"REFUSE, RETAIN, TO",1,2,3,?,?,4,?,5,9,?,?,?,7,?,?,?,?,6,8
72,"RESEMBLE, BE EQUAL TO","u-koma, (?) u-korna H?, a-di daidai H.",**ka hirjer,jinkana,?,?,-hòn-,?,"*kakama  H., *aʤi kumanu",?,?,?,?,"orkama  H., **urunde",?,?,?,?,terunturu wo; sutsunu wo,àkàmà  H.
72,"RESEMBLE, BE EQUAL TO",1,2,3,?,?,4,?,1,?,?,?,?,1,?,?,?,?,5,1
73,ROAD: PATH,li-bo,zɪn,ù-rùnà,?,ùyè,k-lɛ̀vɛ́,ìjwã̀,o-ʤɛna,ù-cóu,o-na,e-jń,?,*o-wunda,u-ʤɛna,u-ʤɪn,ù-cìnà,?,u-~ki-rina,ù-jè
73,ROAD: PATH,1,2,3,?,4,5,6,7,8,9,0,?,9,7,2,8,?,9,4
74,"ROAST ON COALS, TO",uʤuʤu,*-bani; babbani,*diʃi,?,?,kàgə̀dsá; ɔ̀tɔ̀; zɔ̌,ndôsò,*pobo,ká:s; riʃ; zɔ́,?,?,?,**pavah,?,?,pòpà,?,popso tiʧeni,zàtskù
74,"ROAST ON COALS, TO",1,2,1,?,?,4,5,6,4,?,?,?,6,?,?,6,?,6,7
75,"ROT, TO",?,?,*iʃu,?,?,zə̀mə́,hwə́sò,"*baza, **bazo:",wə́m,?,?,?,***u-ʧwise,?,?,?,?,vuzo,?
75,"ROT, TO",?,?,1,?,?,2,3,4,2,?,?,?,3,?,?,?,?,3,?
76,RUBBISH-HEAP,kuwun tizun ʃara,**ingjoge jiezia: a:jijen,**u-gaŋ-ɲe,?,?,?,?,?,?,?,?,?,**ni-ʧinge,?,?,?,?,maguza,kə̀kí:zə̂
